GCP Label,Filename,Easting,Northing,Elevation (m),image_name,X,Y
POINT_01,DJI_0043.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0043.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0043.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0043.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0043.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0044.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0044.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0044.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0044.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0044.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0045.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0045.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0045.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0045.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0045.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0046.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0046.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0046.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0046.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0046.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0047.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0047.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0047.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0047.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0047.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0048.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0048.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0048.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0048.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0048.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0049.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0049.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0049.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
